handle;titel;merk;type;geen_seo_titel;geen_meta_description;seo_titel_len;woorden_beschrijving;afbeeldingen;afb_zonder_alt;niet_in_publieke_collectie;voorraad_0;handle_kopie_suffix;url
mok-tumbler-240-ml-1;Mok Tumbler 240 ml;Bunzlau Castle;Keramiek;;;47;18;41;;;ja;ja;https://tanterie.nl/products/mok-tumbler-240-ml-1
mok-tumbler-350-ml;Mok Tumbler 350 ml;Bunzlau Castle;Keramiek;;;47;18;15;;;;;https://tanterie.nl/products/mok-tumbler-350-ml
ontbijtbord-o-20-cm;Ontbijtbord Ø: 20 cm;Bunzlau Castle;Keramiek;;;46;18;60;;;;;https://tanterie.nl/products/ontbijtbord-o-20-cm
ovale-schaal;Ovale schaal;Bunzlau Castle;Keramiek;;;41;16;26;;;;;https://tanterie.nl/products/ovale-schaal
ovenschaal-met-handvaten-1200-ml;Ovenschaal met Handvaten  1200 ml;Bunzlau Castle;Keramiek;;;61;19;10;;;;;https://tanterie.nl/products/ovenschaal-met-handvaten-1200-ml
ovenschaal-rechthoekig-1880-ml;Ovenschaal Rechthoekig 1880 ml;Bunzlau Castle;Keramiek;;;59;18;38;;;;;https://tanterie.nl/products/ovenschaal-rechthoekig-1880-ml
ovenschaal-rechthoekig-2850-ml;Ovenschaal Rechthoekig 2850 ml;Bunzlau Castle;Keramiek;;;59;18;15;;;ja;;https://tanterie.nl/products/ovenschaal-rechthoekig-2850-ml
ovenschaal-vierkant-1550-ml;Ovenschaal Vierkant 1550 ml;Bunzlau Castle;Keramiek;;;56;18;27;;;;;https://tanterie.nl/products/ovenschaal-vierkant-1550-ml
ovenschaal-vierkant-3200-ml;Ovenschaal Vierkant 3200 ml;Bunzlau Castle;Keramiek;ja;ja;;18;15;;;ja;;https://tanterie.nl/products/ovenschaal-vierkant-3200-ml
pastabord-o-25-cm;Pastabord Ø 25 cm;Bunzlau Castle;Keramiek;ja;ja;;0;1;;ja;ja;;https://tanterie.nl/products/pastabord-o-25-cm
petit-four-o-12-3-cm;Petit Four ø 12,3 cm;Bunzlau Castle;Keramiek;;;47;20;57;;;;;https://tanterie.nl/products/petit-four-o-12-3-cm
ramekin-kom-190-ml;Ramekin kom 190 ml;Bunzlau Castle;Keramiek;;;47;18;40;;;;;https://tanterie.nl/products/ramekin-kom-190-ml
rechte-mok-160-ml;Rechte mok 160 ml;Bunzlau Castle;Keramiek;;;46;18;47;;;;;https://tanterie.nl/products/rechte-mok-160-ml
rechte-mok-250-ml;Rechte mok 250 ml;Bunzlau Castle;Keramiek;;;46;18;48;;;;;https://tanterie.nl/products/rechte-mok-250-ml
rijstkom-300-ml;Rijstkom 300 ml;Bunzlau Castle;Keramiek;ja;ja;;17;51;;;;;https://tanterie.nl/products/rijstkom-300-ml
rijstkom-500-ml;Rijstkom 500 ml;Bunzlau Castle;Keramiek;ja;ja;;17;45;;;;;https://tanterie.nl/products/rijstkom-500-ml
rijstkom-600-ml;Rijstkom 600 ml;Bunzlau Castle;Keramiek;;;27;17;46;;;;;https://tanterie.nl/products/rijstkom-600-ml
rode-wijnglas-bubble-460-ml;Rode wijnglas Bubble 460 ml;Bunzlau Castle;Glaswerk;ja;ja;;41;1;;;;;https://tanterie.nl/products/rode-wijnglas-bubble-460-ml
rode-wijnglas-summer-breeze-460-ml;Rode wijnglas Summer Breeze 460 ml;Bunzlau Castle;Glaswerk;;;63;41;1;;;;;https://tanterie.nl/products/rode-wijnglas-summer-breeze-460-ml
schotel-rechthoek-1;Schotel Rechthoek;Bunzlau Castle;Keramiek;;;46;16;43;;;;ja;https://tanterie.nl/products/schotel-rechthoek-1
serveerschaal-100-ml;Serveerschaal 100 ml;Bunzlau Castle;Keramiek;ja;ja;;0;1;;;ja;;https://tanterie.nl/products/serveerschaal-100-ml
servetten-garden-delight;Servetten - Garden Delight;Bunzlau Castle;Servetten;;;53;11;1;;;;;https://tanterie.nl/products/servetten-garden-delight
soepkom-360-ml;Soepkom 360 ml;Bunzlau Castle;Keramiek;;;43;17;44;;;;;https://tanterie.nl/products/soepkom-360-ml
soepkom-440-ml;Soepkom 440 ml;Bunzlau Castle;Keramiek;;;43;17;16;;;;;https://tanterie.nl/products/soepkom-440-ml
suikerpot-200-ml;Suikerpot 200 ml;Bunzlau Castle;Keramiek;;;45;17;22;;;;;https://tanterie.nl/products/suikerpot-200-ml
theelepel;Theelepel;Bunzlau Castle;Keramiek;ja;ja;;15;41;;;ja;;https://tanterie.nl/products/theelepel
theelepel-hart;Theelepel Hart;Bunzlau Castle;Keramiek;ja;ja;;16;7;;;;;https://tanterie.nl/products/theelepel-hart
theemuts-ruit;Theemuts Ruit;Bunzlau Castle;Keramiek;ja;ja;;17;1;;;;;https://tanterie.nl/products/theemuts-ruit
theemuts-streep;Theemuts Streep;Bunzlau Castle;;ja;ja;;17;1;;;;;https://tanterie.nl/products/theemuts-streep
theepot-1300-ml;Theepot 1300 ml;Bunzlau Castle;Keramiek;;;44;17;45;;;;;https://tanterie.nl/products/theepot-1300-ml
theepot-2000-ml;Theepot 2000 ml;Bunzlau Castle;Keramiek;ja;ja;;17;26;;;;;https://tanterie.nl/products/theepot-2000-ml
theestoof-voor-theepot-1300-amp-2000-ml;Theestoof voor theepot 1300 & 2000 ml;Bunzlau Castle;Keramiek;;;67;20;41;;;;;https://tanterie.nl/products/theestoof-voor-theepot-1300-amp-2000-ml
theetip-hart;Theetip Hart;Bunzlau Castle;Keramiek;ja;ja;;16;43;;;ja;;https://tanterie.nl/products/theetip-hart
theetip-rond;Theetip Rond;Bunzlau Castle;Keramiek;;;41;16;63;;;;;https://tanterie.nl/products/theetip-rond
theetip-theepot;Theetip Theepot;Bunzlau Castle;Keramiek;;;44;16;38;;;ja;;https://tanterie.nl/products/theetip-theepot
tulp-mok-330-ml;Tulp mok 330 ml;Bunzlau Castle;Keramiek;;;44;18;88;;;;;https://tanterie.nl/products/tulp-mok-330-ml
tulp-mok-500-ml-3;Tulp mok 500 ml;Bunzlau Castle;Keramiek;;;44;18;39;;;;ja;https://tanterie.nl/products/tulp-mok-500-ml-3
tulp-mok-70-ml;Tulp mok 70 ml;Bunzlau Castle;Keramiek;;;43;18;43;;;;;https://tanterie.nl/products/tulp-mok-70-ml
vaas-1600-ml;Vaas 1600 ml;Bunzlau Castle;Keramiek;;;41;17;15;;;;;https://tanterie.nl/products/vaas-1600-ml
vaas-2100-ml;Vaas 2100 ml;Bunzlau Castle;Keramiek;;;41;17;21;;;;;https://tanterie.nl/products/vaas-2100-ml
vaas-4400-ml;Vaas 4400 ml;Bunzlau Castle;Keramiek;;;41;17;18;;;;;https://tanterie.nl/products/vaas-4400-ml
vierkante-kom-170-ml;Vierkante kom 170 ml;Bunzlau Castle;Keramiek;ja;ja;;18;30;;;;;https://tanterie.nl/products/vierkante-kom-170-ml
water-scoop-400-ml;Water Scoop 400 ml;Bunzlau Castle;Keramiek;;;47;18;28;;;;;https://tanterie.nl/products/water-scoop-400-ml
